"","sector","state","year","action_occurred"
"173","Construction","North Dakota",2023,0
"174","Construction","North Dakota",2024,0
"175","Construction","North Dakota",2025,0
"176","Construction","Ohio",2021,0
"177","Construction","Ohio",2022,1
"178","Construction","Ohio",2023,1
"179","Construction","Ohio",2024,1
"180","Construction","Ohio",2025,0
"181","Construction","Oklahoma",2021,0
"182","Construction","Oklahoma",2022,0
"183","Construction","Oklahoma",2023,0
"184","Construction","Oklahoma",2024,0
"185","Construction","Oklahoma",2025,0
"186","Construction","Oregon",2021,1
"187","Construction","Oregon",2022,0
"188","Construction","Oregon",2023,0
"189","Construction","Oregon",2024,0
"190","Construction","Oregon",2025,0
"191","Construction","Pennsylvania",2021,0
"192","Construction","Pennsylvania",2022,0
"193","Construction","Pennsylvania",2023,0
"194","Construction","Pennsylvania",2024,1
"195","Construction","Pennsylvania",2025,0
"196","Construction","Rhode Island",2021,0
"197","Construction","Rhode Island",2022,0
"198","Construction","Rhode Island",2023,0
"199","Construction","Rhode Island",2024,0
"200","Construction","Rhode Island",2025,0
"201","Construction","South Carolina",2021,0
"202","Construction","South Carolina",2022,0
"203","Construction","South Carolina",2023,0
"204","Construction","South Carolina",2024,0
"205","Construction","South Carolina",2025,0
"206","Construction","Tennessee",2021,1
"207","Construction","Tennessee",2022,0
"208","Construction","Tennessee",2023,0
"209","Construction","Tennessee",2024,0
"210","Construction","Tennessee",2025,0
"211","Construction","Texas",2021,0
"212","Construction","Texas",2022,1
"213","Construction","Texas",2023,0
"214","Construction","Texas",2024,0
"215","Construction","Texas",2025,0
"216","Construction","Utah",2021,0
"217","Construction","Utah",2022,0
"218","Construction","Utah",2023,0
"219","Construction","Utah",2024,0
"220","Construction","Utah",2025,0
"221","Construction","Vermont",2021,0
"222","Construction","Vermont",2022,0
"223","Construction","Vermont",2023,0
"224","Construction","Vermont",2024,0
"225","Construction","Vermont",2025,0
"226","Construction","Virginia",2021,0
"227","Construction","Virginia",2022,0
"228","Construction","Virginia",2023,0
"229","Construction","Virginia",2024,0
"230","Construction","Virginia",2025,0
"231","Construction","Washington",2021,1
"232","Construction","Washington",2022,1
"233","Construction","Washington",2023,1
"234","Construction","Washington",2024,1
"235","Construction","Washington",2025,0
"236","Construction","West Virginia",2021,0
"237","Construction","West Virginia",2022,0
"238","Construction","West Virginia",2023,0
"239","Construction","West Virginia",2024,0
"240","Construction","West Virginia",2025,0
"241","Construction","Wisconsin",2021,1
"242","Construction","Wisconsin",2022,1
"243","Construction","Wisconsin",2023,0
"244","Construction","Wisconsin",2024,1
"245","Construction","Wisconsin",2025,0
"246","Construction","Wyoming",2021,0
"247","Construction","Wyoming",2022,0
"248","Construction","Wyoming",2023,0
"249","Construction","Wyoming",2024,0
"250","Construction","Wyoming",2025,0
"251","Education and Health Services","Alabama",2021,1
"252","Education and Health Services","Alabama",2022,1
"253","Education and Health Services","Alabama",2023,0
"254","Education and Health Services","Alabama",2024,0
"255","Education and Health Services","Alabama",2025,1
"256","Education and Health Services","Alaska",2021,1
"257","Education and Health Services","Alaska",2022,1
"258","Education and Health Services","Alaska",2023,0
"259","Education and Health Services","Alaska",2024,1
"260","Education and Health Services","Alaska",2025,0
"261","Education and Health Services","Arizona",2021,1
"262","Education and Health Services","Arizona",2022,1
"263","Education and Health Services","Arizona",2023,1
"264","Education and Health Services","Arizona",2024,1
"265","Education and Health Services","Arizona",2025,0
"266","Education and Health Services","Arkansas",2021,0
"267","Education and Health Services","Arkansas",2022,0
"268","Education and Health Services","Arkansas",2023,0
"269","Education and Health Services","Arkansas",2024,0
"270","Education and Health Services","Arkansas",2025,0
"271","Education and Health Services","California",2021,1
"272","Education and Health Services","California",2022,1
"273","Education and Health Services","California",2023,1
"274","Education and Health Services","California",2024,1
"275","Education and Health Services","California",2025,1
"276","Education and Health Services","Colorado",2021,1
"277","Education and Health Services","Colorado",2022,1
"278","Education and Health Services","Colorado",2023,1
"279","Education and Health Services","Colorado",2024,1
"280","Education and Health Services","Colorado",2025,1
"281","Education and Health Services","Connecticut",2021,1
"282","Education and Health Services","Connecticut",2022,1
"283","Education and Health Services","Connecticut",2023,1
"284","Education and Health Services","Connecticut",2024,1
"285","Education and Health Services","Connecticut",2025,1
"286","Education and Health Services","Delaware",2021,0
"287","Education and Health Services","Delaware",2022,0
"288","Education and Health Services","Delaware",2023,0
"289","Education and Health Services","Delaware",2024,0
"290","Education and Health Services","Delaware",2025,0
"291","Education and Health Services","District of Columbia",2021,1
"292","Education and Health Services","District of Columbia",2022,1
"293","Education and Health Services","District of Columbia",2023,0
"294","Education and Health Services","District of Columbia",2024,1
"295","Education and Health Services","District of Columbia",2025,1
"296","Education and Health Services","Florida",2021,1
"297","Education and Health Services","Florida",2022,1
"298","Education and Health Services","Florida",2023,1
"299","Education and Health Services","Florida",2024,1
"300","Education and Health Services","Florida",2025,1
"301","Education and Health Services","Georgia",2021,1
"302","Education and Health Services","Georgia",2022,1
"303","Education and Health Services","Georgia",2023,1
"304","Education and Health Services","Georgia",2024,1
"305","Education and Health Services","Georgia",2025,1
"306","Education and Health Services","Hawaii",2021,1
"307","Education and Health Services","Hawaii",2022,1
"308","Education and Health Services","Hawaii",2023,1
"309","Education and Health Services","Hawaii",2024,1
"310","Education and Health Services","Hawaii",2025,1
"311","Education and Health Services","Idaho",2021,0
"312","Education and Health Services","Idaho",2022,0
"313","Education and Health Services","Idaho",2023,0
"314","Education and Health Services","Idaho",2024,0
"315","Education and Health Services","Idaho",2025,0
"316","Education and Health Services","Illinois",2021,1
"317","Education and Health Services","Illinois",2022,1
"318","Education and Health Services","Illinois",2023,1
"319","Education and Health Services","Illinois",2024,1
"320","Education and Health Services","Illinois",2025,1
"321","Education and Health Services","Indiana",2021,1
"322","Education and Health Services","Indiana",2022,1
"323","Education and Health Services","Indiana",2023,1
"324","Education and Health Services","Indiana",2024,1
"325","Education and Health Services","Indiana",2025,1
"326","Education and Health Services","Iowa",2021,0
"327","Education and Health Services","Iowa",2022,1
"328","Education and Health Services","Iowa",2023,1
"329","Education and Health Services","Iowa",2024,1
"330","Education and Health Services","Iowa",2025,1
"331","Education and Health Services","Kansas",2021,0
"332","Education and Health Services","Kansas",2022,1
"333","Education and Health Services","Kansas",2023,1
"334","Education and Health Services","Kansas",2024,1
"335","Education and Health Services","Kansas",2025,0
"336","Education and Health Services","Kentucky",2021,1
"337","Education and Health Services","Kentucky",2022,1
"338","Education and Health Services","Kentucky",2023,1
"339","Education and Health Services","Kentucky",2024,1
"340","Education and Health Services","Kentucky",2025,0
"341","Education and Health Services","Louisiana",2021,1
"342","Education and Health Services","Louisiana",2022,1
"343","Education and Health Services","Louisiana",2023,1
"344","Education and Health Services","Louisiana",2024,1
"345","Education and Health Services","Louisiana",2025,1
"346","Education and Health Services","Maine",2021,1
"347","Education and Health Services","Maine",2022,0
"348","Education and Health Services","Maine",2023,1
"349","Education and Health Services","Maine",2024,1
"350","Education and Health Services","Maine",2025,1
"351","Education and Health Services","Maryland",2021,1
"352","Education and Health Services","Maryland",2022,1
"353","Education and Health Services","Maryland",2023,1
"354","Education and Health Services","Maryland",2024,1
"355","Education and Health Services","Maryland",2025,1
"356","Education and Health Services","Massachusetts",2021,1
"357","Education and Health Services","Massachusetts",2022,1
"358","Education and Health Services","Massachusetts",2023,1
"359","Education and Health Services","Massachusetts",2024,1
"360","Education and Health Services","Massachusetts",2025,1
"361","Education and Health Services","Michigan",2021,1
"362","Education and Health Services","Michigan",2022,1
"363","Education and Health Services","Michigan",2023,1
"364","Education and Health Services","Michigan",2024,1
"365","Education and Health Services","Michigan",2025,1
"366","Education and Health Services","Minnesota",2021,1
"367","Education and Health Services","Minnesota",2022,1
"368","Education and Health Services","Minnesota",2023,1
"369","Education and Health Services","Minnesota",2024,1
"370","Education and Health Services","Minnesota",2025,1
"371","Education and Health Services","Mississippi",2021,1
"372","Education and Health Services","Mississippi",2022,1
"373","Education and Health Services","Mississippi",2023,0
"374","Education and Health Services","Mississippi",2024,0
"375","Education and Health Services","Mississippi",2025,0
"376","Education and Health Services","Missouri",2021,1
"377","Education and Health Services","Missouri",2022,1
"378","Education and Health Services","Missouri",2023,1
"379","Education and Health Services","Missouri",2024,1
"380","Education and Health Services","Missouri",2025,0
"381","Education and Health Services","Montana",2021,1
"382","Education and Health Services","Montana",2022,1
"383","Education and Health Services","Montana",2023,1
"384","Education and Health Services","Montana",2024,0
"385","Education and Health Services","Montana",2025,0
"386","Education and Health Services","Nebraska",2021,1
"387","Education and Health Services","Nebraska",2022,0
"388","Education and Health Services","Nebraska",2023,0
"389","Education and Health Services","Nebraska",2024,0
"390","Education and Health Services","Nebraska",2025,0
"391","Education and Health Services","Nevada",2021,1
"392","Education and Health Services","Nevada",2022,1
"393","Education and Health Services","Nevada",2023,1
"394","Education and Health Services","Nevada",2024,1
"395","Education and Health Services","Nevada",2025,0
"396","Education and Health Services","New Hampshire",2021,0
"397","Education and Health Services","New Hampshire",2022,1
"398","Education and Health Services","New Hampshire",2023,1
"399","Education and Health Services","New Hampshire",2024,1
"400","Education and Health Services","New Hampshire",2025,1
"401","Education and Health Services","New Jersey",2021,1
"402","Education and Health Services","New Jersey",2022,1
"403","Education and Health Services","New Jersey",2023,1
"404","Education and Health Services","New Jersey",2024,1
"405","Education and Health Services","New Jersey",2025,0
"406","Education and Health Services","New Mexico",2021,1
"407","Education and Health Services","New Mexico",2022,1
"408","Education and Health Services","New Mexico",2023,1
"409","Education and Health Services","New Mexico",2024,1
"410","Education and Health Services","New Mexico",2025,0
"411","Education and Health Services","New York",2021,1
"412","Education and Health Services","New York",2022,1
"413","Education and Health Services","New York",2023,1
"414","Education and Health Services","New York",2024,1
"415","Education and Health Services","New York",2025,1
"416","Education and Health Services","North Carolina",2021,1
"417","Education and Health Services","North Carolina",2022,1
"418","Education and Health Services","North Carolina",2023,1
"419","Education and Health Services","North Carolina",2024,1
"420","Education and Health Services","North Carolina",2025,0
"421","Education and Health Services","North Dakota",2021,0
"422","Education and Health Services","North Dakota",2022,0
"423","Education and Health Services","North Dakota",2023,0
"424","Education and Health Services","North Dakota",2024,1
"425","Education and Health Services","North Dakota",2025,0
"426","Education and Health Services","Ohio",2021,1
"427","Education and Health Services","Ohio",2022,1
"428","Education and Health Services","Ohio",2023,1
"429","Education and Health Services","Ohio",2024,1
"430","Education and Health Services","Ohio",2025,1
"431","Education and Health Services","Oklahoma",2021,1
"432","Education and Health Services","Oklahoma",2022,0
"433","Education and Health Services","Oklahoma",2023,0
"434","Education and Health Services","Oklahoma",2024,0
"435","Education and Health Services","Oklahoma",2025,0
"436","Education and Health Services","Oregon",2021,1
"437","Education and Health Services","Oregon",2022,1
"438","Education and Health Services","Oregon",2023,1
"439","Education and Health Services","Oregon",2024,1
"440","Education and Health Services","Oregon",2025,1
"441","Education and Health Services","Pennsylvania",2021,1
"442","Education and Health Services","Pennsylvania",2022,1
"443","Education and Health Services","Pennsylvania",2023,1
"444","Education and Health Services","Pennsylvania",2024,1
"445","Education and Health Services","Pennsylvania",2025,1
"446","Education and Health Services","Rhode Island",2021,1
"447","Education and Health Services","Rhode Island",2022,1
"448","Education and Health Services","Rhode Island",2023,1
"449","Education and Health Services","Rhode Island",2024,1
"450","Education and Health Services","Rhode Island",2025,1
"451","Education and Health Services","South Carolina",2021,1
"452","Education and Health Services","South Carolina",2022,0
"453","Education and Health Services","South Carolina",2023,1
"454","Education and Health Services","South Carolina",2024,1
"455","Education and Health Services","South Carolina",2025,0
"456","Education and Health Services","Tennessee",2021,1
"457","Education and Health Services","Tennessee",2022,1
"458","Education and Health Services","Tennessee",2023,1
"459","Education and Health Services","Tennessee",2024,1
"460","Education and Health Services","Tennessee",2025,0
"461","Education and Health Services","Texas",2021,1
"462","Education and Health Services","Texas",2022,1
"463","Education and Health Services","Texas",2023,1
"464","Education and Health Services","Texas",2024,1
"465","Education and Health Services","Texas",2025,0
"466","Education and Health Services","Utah",2021,0
"467","Education and Health Services","Utah",2022,1
"468","Education and Health Services","Utah",2023,0
"469","Education and Health Services","Utah",2024,0
"470","Education and Health Services","Utah",2025,1
"471","Education and Health Services","Vermont",2021,0
"472","Education and Health Services","Vermont",2022,1
"473","Education and Health Services","Vermont",2023,1
"474","Education and Health Services","Vermont",2024,1
"475","Education and Health Services","Vermont",2025,0
"476","Education and Health Services","Virginia",2021,1
"477","Education and Health Services","Virginia",2022,1
"478","Education and Health Services","Virginia",2023,1
"479","Education and Health Services","Virginia",2024,0
"480","Education and Health Services","Virginia",2025,1
"481","Education and Health Services","Washington",2021,1
"482","Education and Health Services","Washington",2022,1
"483","Education and Health Services","Washington",2023,1
"484","Education and Health Services","Washington",2024,1
"485","Education and Health Services","Washington",2025,1
"486","Education and Health Services","West Virginia",2021,1
"487","Education and Health Services","West Virginia",2022,0
"488","Education and Health Services","West Virginia",2023,1
"489","Education and Health Services","West Virginia",2024,1
"490","Education and Health Services","West Virginia",2025,0
"491","Education and Health Services","Wisconsin",2021,1
"492","Education and Health Services","Wisconsin",2022,1
"493","Education and Health Services","Wisconsin",2023,1
"494","Education and Health Services","Wisconsin",2024,1
"495","Education and Health Services","Wisconsin",2025,1
"496","Education and Health Services","Wyoming",2021,0
"497","Education and Health Services","Wyoming",2022,0
"498","Education and Health Services","Wyoming",2023,0
"499","Education and Health Services","Wyoming",2024,1
"500","Education and Health Services","Wyoming",2025,0
"501","Financial Activities","Alabama",2021,0
"502","Financial Activities","Alabama",2022,0
"503","Financial Activities","Alabama",2023,0
"504","Financial Activities","Alabama",2024,0
"505","Financial Activities","Alabama",2025,0
"506","Financial Activities","Alaska",2021,0
"507","Financial Activities","Alaska",2022,0
"508","Financial Activities","Alaska",2023,0
"509","Financial Activities","Alaska",2024,0
"510","Financial Activities","Alaska",2025,0
"511","Financial Activities","Arizona",2021,0
"512","Financial Activities","Arizona",2022,0
"513","Financial Activities","Arizona",2023,0
"514","Financial Activities","Arizona",2024,0
"515","Financial Activities","Arizona",2025,0
"516","Financial Activities","Arkansas",2021,0
"517","Financial Activities","Arkansas",2022,0
"518","Financial Activities","Arkansas",2023,0
"519","Financial Activities","Arkansas",2024,0
"520","Financial Activities","Arkansas",2025,0
"521","Financial Activities","California",2021,1
"522","Financial Activities","California",2022,1
"523","Financial Activities","California",2023,1
"524","Financial Activities","California",2024,0
"525","Financial Activities","California",2025,0
"526","Financial Activities","Colorado",2021,0
"527","Financial Activities","Colorado",2022,0
"528","Financial Activities","Colorado",2023,0
"529","Financial Activities","Colorado",2024,0
"530","Financial Activities","Colorado",2025,0
"531","Financial Activities","Connecticut",2021,0
"532","Financial Activities","Connecticut",2022,0
"533","Financial Activities","Connecticut",2023,1
"534","Financial Activities","Connecticut",2024,0
"535","Financial Activities","Connecticut",2025,0
"536","Financial Activities","Delaware",2021,0
"537","Financial Activities","Delaware",2022,0
"538","Financial Activities","Delaware",2023,0
"539","Financial Activities","Delaware",2024,0
"540","Financial Activities","Delaware",2025,0
"541","Financial Activities","District of Columbia",2021,0
"542","Financial Activities","District of Columbia",2022,0
"543","Financial Activities","District of Columbia",2023,0
"544","Financial Activities","District of Columbia",2024,0
"545","Financial Activities","District of Columbia",2025,0
"546","Financial Activities","Florida",2021,1
"547","Financial Activities","Florida",2022,0
"548","Financial Activities","Florida",2023,0
"549","Financial Activities","Florida",2024,0
"550","Financial Activities","Florida",2025,1
"551","Financial Activities","Georgia",2021,0
"552","Financial Activities","Georgia",2022,0
"553","Financial Activities","Georgia",2023,0
"554","Financial Activities","Georgia",2024,0
"555","Financial Activities","Georgia",2025,0
"556","Financial Activities","Hawaii",2021,0
"557","Financial Activities","Hawaii",2022,0
"558","Financial Activities","Hawaii",2023,0
"559","Financial Activities","Hawaii",2024,0
"560","Financial Activities","Hawaii",2025,0
"561","Financial Activities","Idaho",2021,0
"562","Financial Activities","Idaho",2022,0
"563","Financial Activities","Idaho",2023,0
"564","Financial Activities","Idaho",2024,0
"565","Financial Activities","Idaho",2025,0
"566","Financial Activities","Illinois",2021,0
"567","Financial Activities","Illinois",2022,0
"568","Financial Activities","Illinois",2023,1
"569","Financial Activities","Illinois",2024,0
"570","Financial Activities","Illinois",2025,0
"571","Financial Activities","Indiana",2021,0
"572","Financial Activities","Indiana",2022,0
"573","Financial Activities","Indiana",2023,0
"574","Financial Activities","Indiana",2024,0
"575","Financial Activities","Indiana",2025,1
"576","Financial Activities","Iowa",2021,0
"577","Financial Activities","Iowa",2022,0
"578","Financial Activities","Iowa",2023,0
"579","Financial Activities","Iowa",2024,0
"580","Financial Activities","Iowa",2025,0
"581","Financial Activities","Kansas",2021,0
"582","Financial Activities","Kansas",2022,0
"583","Financial Activities","Kansas",2023,0
"584","Financial Activities","Kansas",2024,0
"585","Financial Activities","Kansas",2025,0
"586","Financial Activities","Kentucky",2021,0
"587","Financial Activities","Kentucky",2022,0
"588","Financial Activities","Kentucky",2023,0
"589","Financial Activities","Kentucky",2024,0
"590","Financial Activities","Kentucky",2025,0
"591","Financial Activities","Louisiana",2021,0
"592","Financial Activities","Louisiana",2022,0
"593","Financial Activities","Louisiana",2023,0
"594","Financial Activities","Louisiana",2024,0
"595","Financial Activities","Louisiana",2025,0
"596","Financial Activities","Maine",2021,0
"597","Financial Activities","Maine",2022,0
"598","Financial Activities","Maine",2023,0
"599","Financial Activities","Maine",2024,0
"600","Financial Activities","Maine",2025,0
"601","Financial Activities","Maryland",2021,0
"602","Financial Activities","Maryland",2022,0
"603","Financial Activities","Maryland",2023,0
"604","Financial Activities","Maryland",2024,0
"605","Financial Activities","Maryland",2025,1
"606","Financial Activities","Massachusetts",2021,0
"607","Financial Activities","Massachusetts",2022,0
"608","Financial Activities","Massachusetts",2023,1
"609","Financial Activities","Massachusetts",2024,0
"610","Financial Activities","Massachusetts",2025,0
"611","Financial Activities","Michigan",2021,0
"612","Financial Activities","Michigan",2022,0
"613","Financial Activities","Michigan",2023,1
"614","Financial Activities","Michigan",2024,0
"615","Financial Activities","Michigan",2025,0
"616","Financial Activities","Minnesota",2021,0
"617","Financial Activities","Minnesota",2022,1
"618","Financial Activities","Minnesota",2023,0
"619","Financial Activities","Minnesota",2024,0
"620","Financial Activities","Minnesota",2025,0
"621","Financial Activities","Mississippi",2021,0
"622","Financial Activities","Mississippi",2022,0
"623","Financial Activities","Mississippi",2023,0
"624","Financial Activities","Mississippi",2024,0
"625","Financial Activities","Mississippi",2025,0
"626","Financial Activities","Missouri",2021,0
"627","Financial Activities","Missouri",2022,0
"628","Financial Activities","Missouri",2023,0
"629","Financial Activities","Missouri",2024,0
"630","Financial Activities","Missouri",2025,0
"631","Financial Activities","Montana",2021,0
"632","Financial Activities","Montana",2022,0
"633","Financial Activities","Montana",2023,0
"634","Financial Activities","Montana",2024,0
"635","Financial Activities","Montana",2025,0
"636","Financial Activities","Nebraska",2021,0
"637","Financial Activities","Nebraska",2022,0
"638","Financial Activities","Nebraska",2023,0
"639","Financial Activities","Nebraska",2024,0
"640","Financial Activities","Nebraska",2025,0
"641","Financial Activities","Nevada",2021,0
"642","Financial Activities","Nevada",2022,0
"643","Financial Activities","Nevada",2023,0
"644","Financial Activities","Nevada",2024,0
"645","Financial Activities","Nevada",2025,0
"646","Financial Activities","New Hampshire",2021,0
"647","Financial Activities","New Hampshire",2022,0
"648","Financial Activities","New Hampshire",2023,0
"649","Financial Activities","New Hampshire",2024,0
"650","Financial Activities","New Hampshire",2025,0
"651","Financial Activities","New Jersey",2021,0
"652","Financial Activities","New Jersey",2022,1
"653","Financial Activities","New Jersey",2023,0
"654","Financial Activities","New Jersey",2024,1
"655","Financial Activities","New Jersey",2025,0
"656","Financial Activities","New Mexico",2021,0
"657","Financial Activities","New Mexico",2022,0
"658","Financial Activities","New Mexico",2023,0
"659","Financial Activities","New Mexico",2024,0
"660","Financial Activities","New Mexico",2025,0
"661","Financial Activities","New York",2021,0
"662","Financial Activities","New York",2022,0
"663","Financial Activities","New York",2023,0
"664","Financial Activities","New York",2024,1
"665","Financial Activities","New York",2025,0
"666","Financial Activities","North Carolina",2021,0
"667","Financial Activities","North Carolina",2022,0
"668","Financial Activities","North Carolina",2023,0
"669","Financial Activities","North Carolina",2024,0
"670","Financial Activities","North Carolina",2025,0
"671","Financial Activities","North Dakota",2021,0
"672","Financial Activities","North Dakota",2022,0
"673","Financial Activities","North Dakota",2023,0
"674","Financial Activities","North Dakota",2024,0
"675","Financial Activities","North Dakota",2025,0
"676","Financial Activities","Ohio",2021,0
"677","Financial Activities","Ohio",2022,0
"678","Financial Activities","Ohio",2023,0
"679","Financial Activities","Ohio",2024,0
"680","Financial Activities","Ohio",2025,0
"681","Financial Activities","Oklahoma",2021,0
"682","Financial Activities","Oklahoma",2022,0
"683","Financial Activities","Oklahoma",2023,0
"684","Financial Activities","Oklahoma",2024,0
"685","Financial Activities","Oklahoma",2025,0
"686","Financial Activities","Oregon",2021,0
"687","Financial Activities","Oregon",2022,0
"688","Financial Activities","Oregon",2023,0
"689","Financial Activities","Oregon",2024,0
"690","Financial Activities","Oregon",2025,0
"691","Financial Activities","Pennsylvania",2021,0
"692","Financial Activities","Pennsylvania",2022,0
"693","Financial Activities","Pennsylvania",2023,1
"694","Financial Activities","Pennsylvania",2024,0
"695","Financial Activities","Pennsylvania",2025,0
"696","Financial Activities","Rhode Island",2021,0
"697","Financial Activities","Rhode Island",2022,0
"698","Financial Activities","Rhode Island",2023,0
"699","Financial Activities","Rhode Island",2024,0
"700","Financial Activities","Rhode Island",2025,0
"701","Financial Activities","South Carolina",2021,0
"702","Financial Activities","South Carolina",2022,0
"703","Financial Activities","South Carolina",2023,0
"704","Financial Activities","South Carolina",2024,0
"705","Financial Activities","South Carolina",2025,0
"706","Financial Activities","Tennessee",2021,0
"707","Financial Activities","Tennessee",2022,1
"708","Financial Activities","Tennessee",2023,0
