"","series_id","state","metric"
"144","LAUST530000000000008","Washington","Labor Force Participation Rate"
"145","LAUST540000000000003","West Virginia","Unemployment Rate"
"146","LAUST540000000000006","West Virginia","Labor Force"
"147","LAUST540000000000008","West Virginia","Labor Force Participation Rate"
"148","LAUST550000000000003","Wisconsin","Unemployment Rate"
"149","LAUST550000000000006","Wisconsin","Labor Force"
"150","LAUST550000000000008","Wisconsin","Labor Force Participation Rate"
"151","LAUST560000000000003","Wyoming","Unemployment Rate"
"152","LAUST560000000000006","Wyoming","Labor Force"
"153","LAUST560000000000008","Wyoming","Labor Force Participation Rate"
"154","LAUST720000000000003","Puerto Rico","Unemployment Rate"
"155","LAUST720000000000006","Puerto Rico","Labor Force"
